"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0001","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.url is a valid http(s) URL","Mark scrape 'success'; emit markdown / HTML / JSON to caller","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0002","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.url is invalid / unreachable (DNS / 4xx / 5xx)","Retry with higher timeout (up to 60000ms) on SCRAPE_TIMEOUT","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0003","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'markdown' (default)","Retry with skipTlsVerification:true on SCRAPE_SSL_ERROR","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0004","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'html' / 'rawHtml' (alternative)","Escalate to proxy='stealth' on 401/403/500 (5 credits)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0005","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'screenshot' (needs storage)","Add wait_for and re-render for JS-heavy SPAs","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0006","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'json' (structured extraction)","Use Steel session for login-walled pages (cookies from profile)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0007","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'summary' (LLM summary)","Use /v2/map first to discover URLs, then /v2/scrape each","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0008","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'branding' (design system)","Strip nav/footer via onlyMainContent:true (default)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0009","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'links' (all URLs)","Use includeTags / excludeTags to filter DOM","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0010","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape formats includes 'changeTracking' (with modes)","Set custom User-Agent via headers (bypass naive UA blocks)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0011","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape onlyMainContent == true (default - strip boilerplate)","Use location to geo-target (country / languages)","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0012","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape onlyMainContent == false (keep nav/footer)","Parse PDF with parsers:['pdf'] (auto / fast / ocr modes)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0013","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape wait_for is set (0-60000ms)","Parse DOCX / image (parsers includes right type)","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0014","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape wait_for is unset (default 0)","Set max_age=0 for fresh fetch (no cache)","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0015","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape timeout <= 60000ms (max)","Store result in cache (store_in_cache:true) for later lockdown use","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0016","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape timeout > 60000ms (clamped to 60s)","Re-render after a click / write / wait action (page.screenshot mid-flow)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0017","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.location is set (country / languages) - geo-targeted proxy","Take screenshot (formats:['screenshot']) for visual record","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0018","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape.location is unset (default IP)","Extract structured JSON (formats:['json']) with schema or prompt","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0019","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape includeTags / excludeTags target existing DOM elements","Use proxy='auto' (cheap basic, fallback stealth)","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0020","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape includeTags / excludeTags target nonexistent selectors (no-op)","Always use stealth (proxy='stealth', 5 credits) for known hard targets","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0021","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape headers is set (custom UA etc.)","Reject scrape with ZDR (don't add screenshot etc.)","Page on-call; capture scrape request + URL; require human triage for non-retryable errors","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0022","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL is a PDF","Seed cache once with non-lockdown, then enable lockdown for compliance","Do not blindly retry on 4xx (likely a code / config bug)","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0023","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL is a DOCX","Fall back to no-cache when SCRAPE_LOCKDOWN_CACHE_MISS","Do not blindly retry on 5xx past 3 attempts; surface to operator","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
"FS-0024","firecrawl","fc_scrape","Agent calls /v2/scrape on a single URL","scrape URL is an image","Return cached version of URL (cache hit)","Do not escalate to stealth on a fresh target (waste credits); try basic first","medium","docs.firecrawl.dev/api-reference/endpoint/scrape; docs.firecrawl.dev/api-reference/errors; docs.firecrawl.dev/advanced-scraping-guide; docs.firecrawl.dev/features/stealth-mode"
