"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"CO-0001","session","Agent calls composio.create(userId) to open a new session","composio_create_response.status == 200 AND session_id returned","Return session_id; pass to subsequent tool calls; userID is the scope","Page on-call; capture session_id; halt dependent tool calls; require human triage","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0002","session","Agent calls composio.create(userId) to open a new session","composio_create_response.status == 401 (bad API key)","Re-init SDK with valid COMPOSIO_API_KEY; retry session.create","Re-init SDK with correct API key; surface 'invalid key' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0003","session","Agent calls composio.create(userId) to open a new session","session.userID is non-empty and stable","Use hashed/pseudonymized userID; never pass email/phone as userID","Block tool calls; surface 'userID must be stable' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0004","session","Agent calls composio.create(userId) to open a new session","session.userID is empty / null","Open session with toolkits filter (limit to 5-10 needed toolkits)","Refuse to open session with empty userID (no fallback - security risk)","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0005","session","Agent calls composio.create(userId) to open a new session","session.userID is PII (email, phone) - should be hashed","Open session with no filter only for agent discovery phase (then narrow)","Refuse to open session with PII as userID; pseudonymize first","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0006","session","Agent calls composio.create(userId) to open a new session","session.toolkits filter is set to non-empty list","Pin connected_account_id explicitly (avoid auto-pick ambiguity)","Refuse to open session with tool count > 50; split or filter","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0007","session","Agent calls composio.create(userId) to open a new session","session.toolkits filter is empty (= all toolkits available)","Use alias to select connected account (more stable than ID across re-auth)","Block tool calls; surface 'no ACTIVE connected account' to user with Connect Link","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0008","session","Agent calls composio.create(userId) to open a new session","session.connected_account_id is set (specific account)","Surface 'no connected account' to user with Connect Link (session.authorize())","Page on-call; capture session_id; halt dependent tool calls; require human triage","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0009","session","Agent calls composio.create(userId) to open a new session","session.connected_account_id is null (auto-select first active)","Disambiguate by prompting user (work vs personal) or domain policy","Re-init SDK with correct API key; surface 'invalid key' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0010","session","Agent calls composio.create(userId) to open a new session","session.alias is set (named account selection)","Keep tool count <= 20 per docs recommendation (split into multiple sessions)","Block tool calls; surface 'userID must be stable' to operator","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0011","session","Agent calls composio.create(userId) to open a new session","session has at least one ACTIVE connected account for the toolkit","Reduce tool count by 50%+ (filter by use case, tag, recent)","Refuse to open session with empty userID (no fallback - security risk)","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0012","session","Agent calls composio.create(userId) to open a new session","session has 0 ACTIVE connected accounts (all INIT / EXPIRED / FAILED)","Use multiple sessions with different scopes (one per role / phase)","Refuse to open session with PII as userID; pseudonymize first","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0013","session","Agent calls composio.create(userId) to open a new session","session has multiple ACTIVE connected accounts (ambiguous - need alias or ID)","Use the workbench for state (file storage, intermediate outputs)","Refuse to open session with tool count > 50; split or filter","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0014","session","Agent calls composio.create(userId) to open a new session","session tool count <= 20 (per docs recommendation)","Use proxyExecute for any HTTP endpoint not exposed as a tool","Block tool calls; surface 'no ACTIVE connected account' to user with Connect Link","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
"CO-0015","session","Agent calls composio.create(userId) to open a new session","session tool count > 20 (degraded accuracy per docs)","Use COMPOSIO_MANAGE_CONNECTIONS to handle auth inside agent loop","Page on-call; capture session_id; halt dependent tool calls; require human triage","medium","docs.composio.dev/docs/how-composio-works; docs.composio.dev/docs; docs.composio.dev/content/the-guide-to-mcp-i-never-had"
