id,scenario_num,domain,task_type,system,title,objective,context_name,context_detail,principal_risks,edge_cases,required_validation,completion_standard,layer,collection,chunk_id
CT-0001,1,Web APIs,Design and implement,a versioned REST API for customer accounts,Web APIs — Design and implement: a versioned REST API for customer accounts,Create a production-ready implementation of a versioned REST API for customer accounts.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",schema drift; breaking clients; duplicate requests; partial responses.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,7716a15ddb6eb8477ed0de19
CT-0002,2,Web APIs,Design and implement,a versioned REST API for customer accounts,Web APIs — Design and implement: a versioned REST API for customer accounts,Create a production-ready implementation of a versioned REST API for customer accounts.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",breaking clients; duplicate requests; partial responses; authorization gaps.,malformed payloads; replayed requests; slow downstream services.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ab77f2b659c43d07feab8982
CT-0003,3,Web APIs,Design and implement,a versioned REST API for customer accounts,Web APIs — Design and implement: a versioned REST API for customer accounts,Create a production-ready implementation of a versioned REST API for customer accounts.,Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",duplicate requests; partial responses; authorization gaps; timeout propagation.,replayed requests; slow downstream services; mixed client versions.,contract tests; load tests; fault injection; authorization matrix tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ddc5241f24eefa7e81bc3fa3
CT-0004,4,Web APIs,Design and implement,a versioned REST API for customer accounts,Web APIs — Design and implement: a versioned REST API for customer accounts,Create a production-ready implementation of a versioned REST API for customer accounts.,Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",partial responses; authorization gaps; timeout propagation; schema drift.,replayed requests; slow downstream services; mixed client versions.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,4b33aa2e59af5c6e3e798b0d
CT-0005,5,Web APIs,Diagnose and repair,a versioned REST API for customer accounts,Web APIs — Diagnose and repair: a versioned REST API for customer accounts,"Investigate a failing a versioned REST API for customer accounts, identify the root cause, and implement a verified fix.",Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",authorization gaps; timeout propagation; schema drift; breaking clients.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,b6a0bcae02cc7204370c0bae
CT-0006,6,Web APIs,Diagnose and repair,a versioned REST API for customer accounts,Web APIs — Diagnose and repair: a versioned REST API for customer accounts,"Investigate a failing a versioned REST API for customer accounts, identify the root cause, and implement a verified fix.",High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",timeout propagation; schema drift; breaking clients; duplicate requests.,malformed payloads; replayed requests; slow downstream services.,authorization matrix tests; rollback verification; contract tests; load tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,ce4d0622c3a86f0e545cf63d
CT-0007,7,Web APIs,Diagnose and repair,a versioned REST API for customer accounts,Web APIs — Diagnose and repair: a versioned REST API for customer accounts,"Investigate a failing a versioned REST API for customer accounts, identify the root cause, and implement a verified fix.",Regulated environment,"Sensitive data is present. Access, retention, auditability, encryption, and least privilege must be demonstrably enforced.",schema drift; breaking clients; duplicate requests; partial responses.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,5bd64e404dbec2e62243968e
CT-0008,8,Web APIs,Diagnose and repair,a versioned REST API for customer accounts,Web APIs — Diagnose and repair: a versioned REST API for customer accounts,"Investigate a failing a versioned REST API for customer accounts, identify the root cause, and implement a verified fix.",Constrained delivery,"The change must fit an existing production system, use incremental rollout, include rollback, and avoid a full rewrite.",breaking clients; duplicate requests; partial responses; authorization gaps.,replayed requests; slow downstream services; mixed client versions.,rollback verification; contract tests; load tests; fault injection.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,501f4686756203f10fd1f401
CT-0009,9,Web APIs,Refactor safely,a versioned REST API for customer accounts,Web APIs — Refactor safely: a versioned REST API for customer accounts,Refactor a versioned REST API for customer accounts to improve maintainability without changing externally observable behavior.,Strict reliability,"The service has a 99.99% availability objective, must deploy without planned downtime, and must preserve backward compatibility.",duplicate requests; partial responses; authorization gaps; timeout propagation.,malformed payloads; replayed requests; slow downstream services.,load tests; fault injection; authorization matrix tests; rollback verification.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,76d882c46f8bcbb5cd308777
CT-0010,10,Web APIs,Refactor safely,a versioned REST API for customer accounts,Web APIs — Refactor safely: a versioned REST API for customer accounts,Refactor a versioned REST API for customer accounts to improve maintainability without changing externally observable behavior.,High scale,"The workload may spike to 100 times normal traffic, requests can arrive concurrently, and capacity must scale predictably.",partial responses; authorization gaps; timeout propagation; schema drift.,malformed payloads; replayed requests; slow downstream services.,fault injection; authorization matrix tests; rollback verification; contract tests.,"provide working code or an executable design, automated tests, failure handling, security review, operational telemetry, deployment and rollback steps, and evidence that the acceptance checks pass.",code_corpus,coding_tasks,f4320ca69b79d5ec1d7051de
