"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"GH-0001","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.conclusion == 'success'","Mark run 'success'; emit 'workflow_ok' event; release concurrency lock","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0002","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.conclusion == 'failure'","Mark run 'failure'; capture first failed step; if recoverable, re-run with retry logic","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0003","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.conclusion == 'cancelled'","Mark run 'cancelled'; emit 'workflow_cancelled' event; log cancellation reason","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0004","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.run_attempt == 1 AND workflow.conclusion == 'failure'","Re-run the failed jobs (workflow_dispatch with same inputs) and wait for success","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0005","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.run_attempt > 1 AND workflow.conclusion == 'success' (retry succeeded)","Re-run with debug logging enabled (ACTIONS_STEP_DEBUG=true) for next attempt","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0006","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'push' AND workflow.actor is the GITHUB_TOKEN (no recursive run)","Inspect 'always()' step - it ran and completed (good)","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0007","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'pull_request' AND sender is from a fork","If 'always()' is set on a step, do NOT mark as cancelled (per docs)","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0008","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'merge_group' (merge queue)","Force-cancel the in-flight run via API (use 'force-cancel-a-workflow-run')","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0009","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'workflow_dispatch' AND inputs valid","Cancel via UI / API; wait 5 min for graceful; if still running, force-kill","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0010","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'repository_dispatch' AND client_payload valid JSON","Wait for 360-min default timeout, do not pre-empt","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0011","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.event == 'schedule' AND cron expression valid","Increase job-level timeout-minutes (e.g. 30 -> 60); re-trigger","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0012","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow.elapsed_seconds > 21600 (360-min default timeout)","Increase step-level timeout-minutes; re-trigger","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0013","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job.elapsed_seconds > job.timeout_minutes * 60","Disable fail-fast: set strategy.fail-fast: false; let all legs finish","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0014","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step.elapsed_seconds > step.timeout_minutes * 60","Quarantine the failing leg with continue-on-error; let others complete","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0015","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","matrix.fail_fast == true AND one leg failed (others cancelled)","Mark the matrix job 'failure' but allow report to continue (matrix_fail = true)","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0016","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","matrix.fail_fast == false AND one leg failed (others continued)","Re-run just the failed leg (matrix index) using gh run rerun --failed","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0017","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step.if == 'always()' AND workflow is being cancelled","Validate workflow file with 'act' locally before pushing","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0018","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","job.needs includes a job that was skipped (step result = 'skipped')","Pin action to SHA instead of tag (supply chain hardening)","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0019","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step.continue_on_error == true AND step exit_code != 0","Switch deprecated node20 -> node24; re-run","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0020","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","step uses needs: [other] AND other.conclusion == 'failure'","Use auth token (ghcr.io / private registry) for Docker container action","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0021","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file has valid YAML (parseable)","Cache dependencies (actions/cache) to avoid re-installs","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0022","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file references an action tag that exists (e.g. actions/checkout@v4)","Trigger a self-hosted runner by ensuring label matches and runner is online","Capture full log + first failed step; require sign-off before re-run","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0023","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file references a private action in another repo (no auth = 403)","Use continue-on-error on flaky test step; track separately","Do not auto-retry on unknown failure; require operator decision","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0024","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","workflow file uses an unknown event name (warning, not error)","Tag the release (signed) to trigger downstream release workflows","Disable the workflow temporarily (move to .github/workflows-disabled/)","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
"GH-0025","actions_run","A workflow run is triggered (push, PR, schedule, dispatch)","self-hosted runner with matching label is online","Bump resourceClass to larger runner for memory/CPU heavy jobs","Page on-call; capture run URL; halt dependent workflows; require human triage","high","docs.github.com/actions/reference/workflow-syntax-for-github-actions; docs.github.com/actions/reference/workflow-cancellation-reference"
