id,layer,category,trigger,condition,if_action,else_action,severity,how_to_use,when_to_use,why_to_use,source_doc
AS-0001,scenarios,tool_policy,tool returned error and user asks for analysis,scenario.match count == 0,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0002,scenarios,tool_policy,agent observes: tool returned error and user asks for analysis,scenario.match count >= 1 and score >= 4.0,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0003,scenarios,tool_policy,operator reports: tool returned error and user asks for analysis,scenario.match score < chat_gate min_score,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0004,scenarios,tool_policy,runtime detects: tool returned error and user asks for analysis,severity is critical,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0005,scenarios,tool_policy,chat turn includes: tool returned error and user asks for analysis,severity is low,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0006,scenarios,tool_policy,skill path hits: tool returned error and user asks for analysis,policy_handler_if is not None,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0007,scenarios,tool_policy,after bootstrap: tool returned error and user asks for analysis,policy_handler_if is None,stream policy defer_text with policy_id and handlers on SSE done; do not call LLM,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0008,scenarios,tool_policy,in production: tool returned error and user asks for analysis,error contains github_repository_not_allowed,ops.notify with error_code and repository subject; DEFER analysis,DEFER with fixed text; do not invent policy row,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0009,scenarios,tool_policy,during local dev: tool returned error and user asks for analysis,error contains 429,use pack=github only for github tool errors,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0010,scenarios,tool_policy,on digitalocean deploy: tool returned error and user asks for analysis,pack filter is github,run scenario.match with pack inferred from tool_name; inject format_policy_evidence; DEFER LLM,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0011,scenarios,tool_policy,when brain enabled: tool returned error and user asks for analysis,pack filter is all,apply tools.sleep_backoff then single retry; on second failure DEFER,skip scenario pack when tool was not requested,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0012,scenarios,tool_policy,github allowlist blocked repository,format_policy_evidence returned non-empty,classify failure kind github_allowlist_blocked; surface next_step allowlist fix,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0013,scenarios,tool_policy,agent observes: github allowlist blocked repository,noise-only tokens matched weak row,attach chosen row id GH-* to audit log; never invent id,skip scenario pack when tool was not requested,medium,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0014,scenarios,tool_policy,operator reports: github allowlist blocked repository,allowlist mode is restricted,map if_action via policy_action_map; if handler allowlisted queue skill else evidence-only,DEFER with fixed text; do not invent policy row,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0015,scenarios,tool_policy,runtime detects: github allowlist blocked repository,tool_errors is non-empty,reject weak noise match when score < 4.0; use fixed defer_text,skip scenario pack when tool was not requested,high,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
AS-0016,scenarios,tool_policy,chat turn includes: github allowlist blocked repository,scenario.match count == 0,reload scenario CSVs via scenario.match.reload after operator update,DEFER with fixed text; do not invent policy row,critical,Call scenario.match / policy_for_tool_error before any model tokens; map handlers only via policy_action_map.,Any tool_errors on a turn that requested tools; webhook/policy events.,Stops invented analysis when tools fail; policy rows are fixed evidence.,aion-backend-v2 scenario packs + policy_action_map
