"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"GH-0001","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_1: a runtime boolean that the agent can evaluate","if_action_actions_run_1: do the correct thing per GitHub docs","else_action_actions_run_1: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0002","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_2: a runtime boolean that the agent can evaluate","if_action_actions_run_2: do the correct thing per GitHub docs","else_action_actions_run_2: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0003","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_3: a runtime boolean that the agent can evaluate","if_action_actions_run_3: do the correct thing per GitHub docs","else_action_actions_run_3: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0004","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_4: a runtime boolean that the agent can evaluate","if_action_actions_run_4: do the correct thing per GitHub docs","else_action_actions_run_4: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0005","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_5: a runtime boolean that the agent can evaluate","if_action_actions_run_5: do the correct thing per GitHub docs","else_action_actions_run_5: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0006","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_6: a runtime boolean that the agent can evaluate","if_action_actions_run_6: do the correct thing per GitHub docs","else_action_actions_run_6: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0007","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_7: a runtime boolean that the agent can evaluate","if_action_actions_run_7: do the correct thing per GitHub docs","else_action_actions_run_7: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0008","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_8: a runtime boolean that the agent can evaluate","if_action_actions_run_8: do the correct thing per GitHub docs","else_action_actions_run_8: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0009","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_9: a runtime boolean that the agent can evaluate","if_action_actions_run_9: do the correct thing per GitHub docs","else_action_actions_run_1: page on-call or block + require human","high","docs.github.com/actions_run"
"GH-0010","actions_run","Trigger actions_run #1: a specific actions_run event happens that needs policy lookup","condition_actions_run_10: a runtime boolean that the agent can evaluate","if_action_actions_run_10: do the correct thing per GitHub docs","else_action_actions_run_2: page on-call or block + require human","high","docs.github.com/actions_run"
