"id","category","trigger","condition","if_action","else_action","severity","source_doc"
"RS-0001","build","Render build phase starts for the service","build_exit_code == 0 AND build_log matches /installed successfully/","Mark deploy 'succeeded'; emit 'build_ok' event; release deploy lease","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0002","build","Render build phase starts for the service","build_exit_code != 0","Mark deploy 'failed'; tail build log; extract first 'error:' line; open PR with fix","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0003","build","Render build phase starts for the service","build_log matches /ModuleNotFoundError|ERROR: No matching distribution|cannot find module/i","Suggest adding dependency to package.json/requirements.txt and rerun","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0004","build","Render build phase starts for the service","build_log matches /EACCES|permission denied|ENOSPC|out of memory|exit status 137/i","Regenerate lockfile locally (rm lockfile + install); commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0005","build","Render build phase starts for the service","build_elapsed_seconds > 7200 (120 min build timeout)","Pin language version in .nvmrc / runtime.txt / engines; commit; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0006","build","Render build phase starts for the service","package-lock.json AND package.json hashes diverge from repo HEAD","Set the missing env var via dashboard or PATCH /v1/services/{id}; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0007","build","Render build phase starts for the service","engines.node != .nvmrc AND engines.node != render runtime","Add CMD or ENTRYPOINT to Dockerfile; commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0008","build","Render build phase starts for the service","runtime.txt != python_version in app config","Install missing OS dep in Dockerfile (apt-get install -y); commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0009","build","Render build phase starts for the service","build_env contains required secret (sync:false) AND value is null","Increase plan tier (more RAM) or split build; commit reduced scope; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0010","build","Render build phase starts for the service","Dockerfile is present AND contains CMD or ENTRYPOINT","Reduce build scope (--omit=dev for npm, --no-deps for pip); commit; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0011","build","Render build phase starts for the service","Dockerfile is present AND lacks both CMD and ENTRYPOINT","Remove interactive prompts (--yes, -y); commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0012","build","Render build phase starts for the service","render.yaml has healthCheckPath AND app actually serves that path with 2xx","Trigger deploy manually via POST /v1/services/{id}/deploys","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0013","build","Render build phase starts for the service","render.yaml has preDeployCommand AND command timed out (30 min)","Wait for required CI check to pass; auto-retry deploy when green","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0014","build","Render build phase starts for the service","build_log contains 'error:' AND build step is past dependency install","Skip deploy (no auto-deploy); notify operator with commit SHA","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0015","build","Render build phase starts for the service","git HEAD commit has zero GitHub checks","Migrate secret from .env to env group; rotate; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0016","build","Render build phase starts for the service","git HEAD commit has at least one GitHub check with conclusion != success/neutral/skipped","Move build into pre-built Docker image (Render Image) to skip build","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0017","build","Render build phase starts for the service","GitHub repo has Render auto-deploy enabled AND new commit on tracked branch","Mark deploy 'succeeded'; emit 'build_ok' event; release deploy lease","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0018","build","Render build phase starts for the service","API call POST /v1/services/{id}/deploys returns 200","Mark deploy 'failed'; tail build log; extract first 'error:' line; open PR with fix","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0019","build","Render build phase starts for the service","Webhook secret in header matches stored signing secret (HMAC verify)","Suggest adding dependency to package.json/requirements.txt and rerun","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0020","build","Render build phase starts for the service","render.yaml envVars with generateValue:true already exists for that key","Regenerate lockfile locally (rm lockfile + install); commit; redeploy","Open revert PR; if auto-deploy on, let CI gate the revert","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0021","build","Render build phase starts for the service","build_artifact_size > 1GB (Render cache cap)","Pin language version in .nvmrc / runtime.txt / engines; commit; redeploy","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0022","build","Render build phase starts for the service","build attempts nested 'docker build' (DinD not allowed)","Set the missing env var via dashboard or PATCH /v1/services/{id}; redeploy","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0023","build","Render build phase starts for the service","build attempts interactive prompt (Render non-interactive)","Add CMD or ENTRYPOINT to Dockerfile; commit; redeploy","Capture full build log to incident doc; require sign-off to retry","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0024","build","Build command executes (npm install / pip install / go build)","build_exit_code == 0 AND build_log matches /installed successfully/","Mark deploy 'failed'; tail build log; extract first 'error:' line; open PR with fix","Page on-call; open incident; halt deploy queue; require human triage","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
"RS-0025","build","Build command executes (npm install / pip install / go build)","build_exit_code != 0","Suggest adding dependency to package.json/requirements.txt and rerun","Do not mark deploy 'failed' yet; retry once; if 2nd fail, page on-call","high","render.com/docs/deploys; render.com/docs/troubleshooting-deploys"
